item,claim_2024_item,status,manuscript_location,action_required,notes,V2.1 action
22,Detailed model architecture,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
23,Software libraries/frameworks/packages,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
24,Model-parameter initialization,NO,Methods,Historical random-initialization distribution is not recoverable; frozen checkpoint provenance is reported,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
25,Training approach and hyperparameters,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
26,Final-model selection,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
27,Ensembling technique,YES,Methods; P0 pathway audit; Supplement,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
28,Performance metrics,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
29,Statistical significance and uncertainty,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
30,Robustness or sensitivity analyses,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
31,Explainability/interpretability methods,NA,Methods / Supplement,Not applicable; rationale documented,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
32,Evaluation on internal data,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
33,Testing on external data,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
34,Clinical-trial registration,NA,Methods / Supplement,Not applicable; rationale documented,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
35,Numbers included and excluded,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
36,Demographic and clinical characteristics,YES,Results; Table 1; Supplementary Table S2,None; linked official metadata and missingness reported without imputation,Audited against CLAIM 2024 official item,Table 1 and Supplementary Table S1 now derive from union-column linked metadata with missingness.
37,Performance metrics with uncertainty,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
38,Diagnostic performance and precision,NA,Methods / Supplement,Not applicable; rationale documented,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
39,Failure analysis,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
40,Study limitations,YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
41,"Implications, intended use and clinical role",YES,Methods / Supplementary Methods,None,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
42,Protocol/additional technical details,NO,Protocol availability,Add final public protocol/repository URL,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
43,"Availability of software, trained model and data",NO,Code Availability,Add final code/model repository URL,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
44,Funding/support and funder role,NO,Funding,Author must provide funding/support,Audited against CLAIM 2024 official item,Retained and rechecked against expanded manuscript.
