location,context,observed,expected,authority,tolerance,status
main manuscript," error, and average precision summarizes ranking under class imbalance [10,11,15]. Target-volume-matched top-k overlap was used only as an oracle-assist",11,11,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ror, and average precision summarizes ranking under class imbalance [10,11,15]. Target-volume-matched top-k overlap was used only as an oracle-assisted ",15,15,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,and is therefore neither a deployment metric nor interchangeable with Dice@0.5. Keeping these metric systems separate prevents a target-dependent develop,0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," performance.  We evaluated this framework across three evidence levels. A 40-patient development cohort supported algorithmic ablation, imperfect-guida",40,40,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"lysis and the post hoc identification of a no-smoothing candidate. A later 113-patient independent internal cohort used prelocked, future-blind P0 maps a",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ture-blind P0 maps and two prespecified confirmatory comparisons. Finally, 39 patients from the independent RHUH-GBM collection tested transfer of the u",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,point predictor before a separately locked retrospective correction stage [3]. The canonical method remained Prediction-Comparison-Correction (PCC); “P,3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"get semantics and future-access boundary  The evidence hierarchy comprised 40 development patients, 113 independent internal patients and 39 RHUH extern",40,40,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"access boundary  The evidence hierarchy comprised 40 development patients, 113 independent internal patients and 39 RHUH external patients (Table 1). The",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"y comprised 40 development patients, 113 independent internal patients and 39 RHUH external patients (Table 1). The internal source manifest initially c",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ts, 113 independent internal patients and 39 RHUH external patients (Table 1). The internal source manifest initially contained 115 patients. PatientID",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ernal patients (Table 1). The internal source manifest initially contained 115 patients. PatientID_0113 and PatientID_0132 were excluded together after S,115,115,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,. The internal source manifest initially contained 115 patients. PatientID_0113 and PatientID_0132 were excluded together after Stage A P0 generation but ,0113,0113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ce manifest initially contained 115 patients. PatientID_0113 and PatientID_0132 were excluded together after Stage A P0 generation but before target const,0132,0132,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ted treating them as independent patients; their original P0 files and the 115-patient manifest remained in the audit chain. The RHUH source contained 40,115,115,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,15-patient manifest remained in the audit chain. The RHUH source contained 40 patients. RHUH-0008 was excluded before external P0 generation because los,40,40,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,t remained in the audit chain. The RHUH source contained 40 patients. RHUH-0008 was excluded before external P0 generation because lossless axis permutati,0008,0008,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"rmality, enhancing foreground and resection cavity. RHUH used segmentation>0, combining necrosis, peritumoral/non-enhancing abnormality and enhancing t",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ent's patient-disjoint held-out fold. At the deployment-style threshold of 0.5, mean Dice was 0.216 for Fixed, 0.326 for canonical Full PCC and 0.385 for",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"int held-out fold. At the deployment-style threshold of 0.5, mean Dice was 0.216 for Fixed, 0.326 for canonical Full PCC and 0.385 for no-smoothing; corres",0.216,0.216,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,". At the deployment-style threshold of 0.5, mean Dice was 0.216 for Fixed, 0.326 for canonical Full PCC and 0.385 for no-smoothing; corresponding soft-Dice",0.326,0.326,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ld of 0.5, mean Dice was 0.216 for Fixed, 0.326 for canonical Full PCC and 0.385 for no-smoothing; corresponding soft-Dice means were 0.222, 0.270 and 0.30",0.385,0.385,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"al Full PCC and 0.385 for no-smoothing; corresponding soft-Dice means were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and",0.222,0.222,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," PCC and 0.385 for no-smoothing; corresponding soft-Dice means were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and Brier ",0.270,0.270,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,".385 for no-smoothing; corresponding soft-Dice means were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and Brier scores wer",0.309,0.309,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," soft-Dice means were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. Thes",0.229,0.229,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ice means were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. These descr",0.373,0.373,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"were 0.222, 0.270 and 0.309, average precision means were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. These descriptive dev",0.523,0.523,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"average precision means were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. These descriptive development estimates use a differ",0.00630,0.00630,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"recision means were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. These descriptive development estimates use a different data ",0.00470,0.00470,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ns were 0.229, 0.373 and 0.523, and Brier scores were 0.00630, 0.00470 and 0.00385. These descriptive development estimates use a different data role from th",0.00385,0.00385,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"parately locked oracle-assisted target-volume-matched top-k metric (Figure 5 and Supplementary Table S5). Under that target-dependent metric, Fixed P0 ",5,5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"Table S5). Under that target-dependent metric, Fixed P0 achieved mean Dice 0.276, canonical Full PCC 0.388 and no-smoothing 0.500. Turning off error guidan",0.276,0.276,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"et-dependent metric, Fixed P0 achieved mean Dice 0.276, canonical Full PCC 0.388 and no-smoothing 0.500. Turning off error guidance while retaining outside",0.388,0.388,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"xed P0 achieved mean Dice 0.276, canonical Full PCC 0.388 and no-smoothing 0.500. Turning off error guidance while retaining outside suppression reduced th",0.500,0.500,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ff error guidance while retaining outside suppression reduced the score to 0.288; retaining error guidance but removing outside suppression yielded 0.361. ,0.288,0.288,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"o 0.288; retaining error guidance but removing outside suppression yielded 0.361. With both terms off, the score returned to 0.276. A global-discrepancy va",0.361,0.361,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"side suppression yielded 0.361. With both terms off, the score returned to 0.276. A global-discrepancy variant reached 0.393, showing that not every deviat",0.276,0.276,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"rms off, the score returned to 0.276. A global-discrepancy variant reached 0.393, showing that not every deviation from the canonical support reduced the d",0.393,0.393,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"plementary Tables S6 and S7). For Full PCC, oracle-assisted top-k Dice was 0.388 with clean guidance, 0.349 with 50% partial guidance, 0.324 with 25% parti",0.388,0.388,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"). For Full PCC, oracle-assisted top-k Dice was 0.388 with clean guidance, 0.349 with 50% partial guidance, 0.324 with 25% partial guidance, 0.384 after ad",0.349,0.349,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," PCC, oracle-assisted top-k Dice was 0.388 with clean guidance, 0.349 with 50% partial guidance, 0.324 with 25% partial guidance, 0.384 after addition o",50,50,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"top-k Dice was 0.388 with clean guidance, 0.349 with 50% partial guidance, 0.324 with 25% partial guidance, 0.384 after addition of 25% false-positive guid",0.324,0.324,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"was 0.388 with clean guidance, 0.349 with 50% partial guidance, 0.324 with 25% partial guidance, 0.384 after addition of 25% false-positive guidance, 0.",25,25,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"uidance, 0.349 with 50% partial guidance, 0.324 with 25% partial guidance, 0.384 after addition of 25% false-positive guidance, 0.368 after a three-voxel s",0.384,0.384,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"partial guidance, 0.324 with 25% partial guidance, 0.384 after addition of 25% false-positive guidance, 0.368 after a three-voxel shift and 0.333 under ",25,25,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"25% partial guidance, 0.384 after addition of 25% false-positive guidance, 0.368 after a three-voxel shift and 0.333 under mixed perturbation. Thus incompl",0.368,0.368,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"dition of 25% false-positive guidance, 0.368 after a three-voxel shift and 0.333 under mixed perturbation. Thus incomplete or displaced guidance generally ",0.333,0.333,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,causal or biological evidence.  ### Independent internal confirmation  All 113 independent internal patients were absent from every predictor-training pa,113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," checkpoint receiving only current T1c and current segmentation. Mean Dice@0.5 was 0.239 for Fixed P0, 0.444 for canonical Full PCC and 0.637 for no-smoo",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"int receiving only current T1c and current segmentation. Mean Dice@0.5 was 0.239 for Fixed P0, 0.444 for canonical Full PCC and 0.637 for no-smoothing (Fig",0.239,0.239,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"urrent T1c and current segmentation. Mean Dice@0.5 was 0.239 for Fixed P0, 0.444 for canonical Full PCC and 0.637 for no-smoothing (Figure 2). Full PCC min",0.444,0.444,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"on. Mean Dice@0.5 was 0.239 for Fixed P0, 0.444 for canonical Full PCC and 0.637 for no-smoothing (Figure 2). Full PCC minus Fixed had a mean paired differ",0.637,0.637,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," Fixed P0, 0.444 for canonical Full PCC and 0.637 for no-smoothing (Figure 2). Full PCC minus Fixed had a mean paired difference of 0.205, median diffe",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"smoothing (Figure 2). Full PCC minus Fixed had a mean paired difference of 0.205, median difference of 0.212 and 113/0/0 wins/ties/losses. The paired two-s",0.205,0.205,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"CC minus Fixed had a mean paired difference of 0.205, median difference of 0.212 and 113/0/0 wins/ties/losses. The paired two-sided Wilcoxon P value was 2.",0.212,0.212,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ixed had a mean paired difference of 0.205, median difference of 0.212 and 113/0/0 wins/ties/losses. The paired two-sided Wilcoxon P value was 2.803e-20,",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," had a mean paired difference of 0.205, median difference of 0.212 and 113/0/0 wins/ties/losses. The paired two-sided Wilcoxon P value was 2.803e-20, t",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ad a mean paired difference of 0.205, median difference of 0.212 and 113/0/0 wins/ties/losses. The paired two-sided Wilcoxon P value was 2.803e-20, the",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"12 and 113/0/0 wins/ties/losses. The paired two-sided Wilcoxon P value was 2.803e-20, the Holm-adjusted P value was 5.606e-20, the 10,000-resample paired boots",2.803e-20,2.803e-20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ed two-sided Wilcoxon P value was 2.803e-20, the Holm-adjusted P value was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen ",5.606e-20,5.606e-20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"lcoxon P value was 2.803e-20, the Holm-adjusted P value was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2",10,10,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"xon P value was 2.803e-20, the Holm-adjusted P value was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2.746",000,000,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," Holm-adjusted P value was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2.746 and rank-biserial effect siz",95,95,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"value was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2.746 and rank-biserial effect size was 1.000 (Table 2",0.191,0.191,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"was 5.606e-20, the 10,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2.746 and rank-biserial effect size was 1.000 (Table 2).  No",0.218,0.218,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0,000-resample paired bootstrap 95% interval was 0.191–0.218, Cohen dz was 2.746 and rank-biserial effect size was 1.000 (Table 2).  No-smoothing minus Ful",2.746,2.746,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"rval was 0.191–0.218, Cohen dz was 2.746 and rank-biserial effect size was 1.000 (Table 2).  No-smoothing minus Full PCC had mean difference 0.193, median ",1.000,1.000,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"1–0.218, Cohen dz was 2.746 and rank-biserial effect size was 1.000 (Table 2).  No-smoothing minus Full PCC had mean difference 0.193, median differenc",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"size was 1.000 (Table 2).  No-smoothing minus Full PCC had mean difference 0.193, median difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P val",0.193,0.193,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"  No-smoothing minus Full PCC had mean difference 0.193, median difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-ad",0.189,0.189,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"hing minus Full PCC had mean difference 0.193, median difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-adjusted P",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," minus Full PCC had mean difference 0.193, median difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-adjusted P w",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"inus Full PCC had mean difference 0.193, median difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-adjusted P was",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"n difference 0.189 and 113/0/0 wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-adjusted P was 5.606e-20, bootstrap interval was 0.174–0.213, Cohen ",2.803e-20,2.803e-20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"wins/ties/losses. Its two-sided P value was 2.803e-20, Holm-adjusted P was 5.606e-20, bootstrap interval was 0.174–0.213, Cohen dz was 1.797 and rank-biserial ",5.606e-20,5.606e-20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"value was 2.803e-20, Holm-adjusted P was 5.606e-20, bootstrap interval was 0.174–0.213, Cohen dz was 1.797 and rank-biserial effect size was 1.000. These w",0.174,0.174,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"was 2.803e-20, Holm-adjusted P was 5.606e-20, bootstrap interval was 0.174–0.213, Cohen dz was 1.797 and rank-biserial effect size was 1.000. These were th",0.213,0.213,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"adjusted P was 5.606e-20, bootstrap interval was 0.174–0.213, Cohen dz was 1.797 and rank-biserial effect size was 1.000. These were the only two internal ",1.797,1.797,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"rval was 0.174–0.213, Cohen dz was 1.797 and rank-biserial effect size was 1.000. These were the only two internal confirmatory hypotheses. Supporting prob",1.000,1.000,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," the same general direction: Fixed, Full PCC and no-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier scor",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"me general direction: Fixed, Full PCC and no-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00",0.143,0.143,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ral direction: Fixed, Full PCC and no-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.",0.303,0.303,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ion: Fixed, Full PCC and no-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and ",0.496,0.496,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," and no-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average",0.185,0.185,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"-smoothing had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average precis",0.267,0.267,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," had mean IoU@0.5 of 0.143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.2",0.320,0.320,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,".143, 0.303 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, res",0.00452,0.00452,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"03 and 0.496; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, respectively",0.00310,0.00310,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"; soft Dice of 0.185, 0.267 and 0.320; Brier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, respectively. The patter",0.00258,0.00258,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"320; Brier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, respectively. The pattern therefore was not confined to ",0.227,0.227,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ier score of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, respectively. The pattern therefore was not confined to one thr",0.414,0.414,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"of 0.00452, 0.00310 and 0.00258; and average precision of 0.227, 0.414 and 0.647, respectively. The pattern therefore was not confined to one thresholded-o",0.647,0.647,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
