case_id,condition,repeat,full_guidance_voxels,no_smoothing_guidance_voxels,full_shift_direction,no_smoothing_shift_direction,full_seed,no_smoothing_seed,guidance_voxel_match,shift_direction_match,seed_match
PatientID_0013_T1_to_T2_t1c,SHIFT_3,+z,21951,21951,+z,+z,,,True,True,True
PatientID_0013_T1_to_T2_t1c,SHIFT_3,-x,21951,21951,-x,-x,,,True,True,True
PatientID_0013_T1_to_T2_t1c,SHIFT_3,-y,21951,21951,-y,-y,,,True,True,True
PatientID_0013_T1_to_T2_t1c,SHIFT_3,-z,21951,21951,-z,-z,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,+x,1800,1800,+x,+x,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,+y,1800,1800,+y,+y,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,+z,1800,1800,+z,+z,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,-x,1800,1800,-x,-x,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,-y,1800,1800,-y,-y,,,True,True,True
PatientID_0014_T1_to_T2_t1c,SHIFT_3,-z,1800,1800,-z,-z,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,+x,1422,1422,+x,+x,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,+y,1422,1422,+y,+y,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,+z,1422,1422,+z,+z,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,-x,1422,1422,-x,-x,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,-y,1422,1422,-y,-y,,,True,True,True
PatientID_0018_T1_to_T2_t1c,SHIFT_3,-z,1422,1422,-z,-z,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,+x,12946,12946,+x,+x,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,+y,12946,12946,+y,+y,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,+z,12946,12946,+z,+z,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,-x,12946,12946,-x,-x,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,-y,12946,12946,-y,-y,,,True,True,True
PatientID_0019_T4_to_T5_t1c,SHIFT_3,-z,12946,12946,-z,-z,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,+x,21116,21116,+x,+x,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,+y,21116,21116,+y,+y,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,+z,21116,21116,+z,+z,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,-x,21116,21116,-x,-x,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,-y,21116,21116,-y,-y,,,True,True,True
PatientID_0020_T1_to_T2_t1c,SHIFT_3,-z,21116,21116,-z,-z,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,+x,15689,15689,+x,+x,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,+y,15689,15689,+y,+y,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,+z,15689,15689,+z,+z,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,-x,15689,15689,-x,-x,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,-y,15689,15689,-y,-y,,,True,True,True
PatientID_0021_T2_to_T3_t1c,SHIFT_3,-z,15689,15689,-z,-z,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,+x,109628,109628,+x,+x,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,+y,109628,109628,+y,+y,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,+z,109628,109628,+z,+z,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,-x,109628,109628,-x,-x,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,-y,109628,109628,-y,-y,,,True,True,True
PatientID_0022_T1_to_T2_t1c,SHIFT_3,-z,109628,109628,-z,-z,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,+x,59870,59870,+x,+x,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,+y,59870,59870,+y,+y,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,+z,59870,59870,+z,+z,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,-x,59870,59870,-x,-x,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,-y,59870,59870,-y,-y,,,True,True,True
PatientID_0024_T2_to_T3_t1c,SHIFT_3,-z,59870,59870,-z,-z,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,+x,29170,29170,+x,+x,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,+y,29170,29170,+y,+y,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,+z,29170,29170,+z,+z,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,-x,29170,29170,-x,-x,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,-y,29170,29170,-y,-y,,,True,True,True
PatientID_0025_T1_to_T2_t1c,SHIFT_3,-z,29170,29170,-z,-z,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,+x,47622,47622,+x,+x,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,+y,47622,47622,+y,+y,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,+z,47622,47622,+z,+z,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,-x,47622,47622,-x,-x,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,-y,47622,47622,-y,-y,,,True,True,True
PatientID_0026_T1_to_T2_t1c,SHIFT_3,-z,47622,47622,-z,-z,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,+x,38420,38420,+x,+x,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,+y,38420,38420,+y,+y,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,+z,38420,38420,+z,+z,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,-x,38420,38420,-x,-x,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,-y,38420,38420,-y,-y,,,True,True,True
PatientID_0029_T1_to_T3_t1c,SHIFT_3,-z,38420,38420,-z,-z,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,+x,75054,75054,+x,+x,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,+y,75054,75054,+y,+y,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,+z,75054,75054,+z,+z,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,-x,75054,75054,-x,-x,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,-y,75054,75054,-y,-y,,,True,True,True
PatientID_0030_T1_to_T3_t1c,SHIFT_3,-z,75054,75054,-z,-z,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,+x,17708,17708,+x,+x,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,+y,17708,17708,+y,+y,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,+z,17708,17708,+z,+z,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,-x,17708,17708,-x,-x,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,-y,17708,17708,-y,-y,,,True,True,True
PatientID_0031_T2_to_T3_t1c,SHIFT_3,-z,17708,17708,-z,-z,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,+x,1207,1207,+x,+x,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,+y,1207,1207,+y,+y,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,+z,1207,1207,+z,+z,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,-x,1207,1207,-x,-x,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,-y,1207,1207,-y,-y,,,True,True,True
PatientID_0032_T1_to_T2_t1c,SHIFT_3,-z,1207,1207,-z,-z,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,+x,10308,10308,+x,+x,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,+y,10308,10308,+y,+y,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,+z,10308,10308,+z,+z,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,-x,10308,10308,-x,-x,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,-y,10308,10308,-y,-y,,,True,True,True
PatientID_0033_T1_to_T2_t1c,SHIFT_3,-z,10308,10308,-z,-z,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,+x,3947,3947,+x,+x,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,+y,3947,3947,+y,+y,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,+z,3947,3947,+z,+z,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,-x,3947,3947,-x,-x,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,-y,3947,3947,-y,-y,,,True,True,True
PatientID_0034_T1_to_T2_t1c,SHIFT_3,-z,3947,3947,-z,-z,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,+x,2711,2711,+x,+x,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,+y,2711,2711,+y,+y,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,+z,2711,2711,+z,+z,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,-x,2711,2711,-x,-x,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,-y,2711,2711,-y,-y,,,True,True,True
PatientID_0035_T1_to_T2_t1c,SHIFT_3,-z,2711,2711,-z,-z,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,+x,70106,70106,+x,+x,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,+y,70106,70106,+y,+y,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,+z,70106,70106,+z,+z,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,-x,70106,70106,-x,-x,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,-y,70106,70106,-y,-y,,,True,True,True
PatientID_0036_T1_to_T2_t1c,SHIFT_3,-z,70106,70106,-z,-z,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,+x,35849,35849,+x,+x,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,+y,35849,35849,+y,+y,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,+z,35849,35849,+z,+z,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,-x,35849,35849,-x,-x,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,-y,35849,35849,-y,-y,,,True,True,True
PatientID_0037_T1_to_T2_t1c,SHIFT_3,-z,35849,35849,-z,-z,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,+x,26620,26620,+x,+x,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,+y,26620,26620,+y,+y,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,+z,26620,26620,+z,+z,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,-x,26620,26620,-x,-x,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,-y,26620,26620,-y,-y,,,True,True,True
PatientID_0038_T1_to_T2_t1c,SHIFT_3,-z,26620,26620,-z,-z,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,+x,2761,2761,+x,+x,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,+y,2761,2761,+y,+y,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,+z,2761,2761,+z,+z,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,-x,2761,2761,-x,-x,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,-y,2761,2761,-y,-y,,,True,True,True
PatientID_0039_T1_to_T2_t1c,SHIFT_3,-z,2761,2761,-z,-z,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,+x,8110,8110,+x,+x,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,+y,8110,8110,+y,+y,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,+z,8110,8110,+z,+z,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,-x,8110,8110,-x,-x,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,-y,8110,8110,-y,-y,,,True,True,True
PatientID_0041_T1_to_T2_t1c,SHIFT_3,-z,8110,8110,-z,-z,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,+x,1641,1641,+x,+x,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,+y,1641,1641,+y,+y,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,+z,1641,1641,+z,+z,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,-x,1641,1641,-x,-x,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,-y,1641,1641,-y,-y,,,True,True,True
PatientID_0044_T1_to_T2_t1c,SHIFT_3,-z,1641,1641,-z,-z,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,+x,53998,53998,+x,+x,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,+y,53998,53998,+y,+y,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,+z,53998,53998,+z,+z,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,-x,53998,53998,-x,-x,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,-y,53998,53998,-y,-y,,,True,True,True
PatientID_0045_T1_to_T2_t1c,SHIFT_3,-z,53998,53998,-z,-z,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,+x,15796,15796,+x,+x,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,+y,15796,15796,+y,+y,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,+z,15796,15796,+z,+z,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,-x,15796,15796,-x,-x,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,-y,15796,15796,-y,-y,,,True,True,True
PatientID_0051_T1_to_T3_t1c,SHIFT_3,-z,15796,15796,-z,-z,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,+x,22780,22780,+x,+x,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,+y,22780,22780,+y,+y,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,+z,22780,22780,+z,+z,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,-x,22780,22780,-x,-x,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,-y,22780,22780,-y,-y,,,True,True,True
PatientID_0052_T1_to_T2_t1c,SHIFT_3,-z,22780,22780,-z,-z,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,+x,115146,115146,+x,+x,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,+y,115146,115146,+y,+y,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,+z,115146,115146,+z,+z,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,-x,115146,115146,-x,-x,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,-y,115146,115146,-y,-y,,,True,True,True
PatientID_0053_T1_to_T3_t1c,SHIFT_3,-z,115146,115146,-z,-z,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,+x,7192,7192,+x,+x,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,+y,7192,7192,+y,+y,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,+z,7192,7192,+z,+z,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,-x,7192,7192,-x,-x,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,-y,7192,7192,-y,-y,,,True,True,True
PatientID_0054_T1_to_T2_t1c,SHIFT_3,-z,7192,7192,-z,-z,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,+x,18698,18698,+x,+x,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,+y,18698,18698,+y,+y,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,+z,18698,18698,+z,+z,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,-x,18698,18698,-x,-x,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,-y,18698,18698,-y,-y,,,True,True,True
PatientID_0055_T1_to_T4_t1c,SHIFT_3,-z,18698,18698,-z,-z,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,+x,2310,2310,+x,+x,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,+y,2310,2310,+y,+y,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,+z,2310,2310,+z,+z,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,-x,2310,2310,-x,-x,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,-y,2310,2310,-y,-y,,,True,True,True
PatientID_0059_T1_to_T2_t1c,SHIFT_3,-z,2310,2310,-z,-z,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,+x,63733,63733,+x,+x,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,+y,63733,63733,+y,+y,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,+z,63733,63733,+z,+z,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,-x,63733,63733,-x,-x,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,-y,63733,63733,-y,-y,,,True,True,True
PatientID_0060_T1_to_T2_t1c,SHIFT_3,-z,63733,63733,-z,-z,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,+x,62973,62973,+x,+x,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,+y,62973,62973,+y,+y,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,+z,62973,62973,+z,+z,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,-x,62973,62973,-x,-x,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,-y,62973,62973,-y,-y,,,True,True,True
PatientID_0062_T1_to_T2_t1c,SHIFT_3,-z,62973,62973,-z,-z,,,True,True,True
